city,latitude,longitude,date,temperature,humidity,wind_speed,rainfall,pressure
Chennai,13.0827,80.2707,2024-01-01,29.95,71.14,6.29,0.41,1012.63
Chennai,13.0827,80.2707,2024-01-02,24.24,48.06,5.88,0.0,1012.79
Chennai,13.0827,80.2707,2024-01-03,23.45,64.05,6.11,0.0,1010.98
Chennai,13.0827,80.2707,2024-01-04,23.48,52.85,9.38,0.0,1009.39
Chennai,13.0827,80.2707,2024-01-05,25.49,60.7,3.67,0.74,1014.3
Chennai,13.0827,80.2707,2024-01-06,26.92,78.16,7.34,0.0,1015.69
Chennai,13.0827,80.2707,2024-01-07,29.72,61.88,5.4,0.0,1009.49
Chennai,13.0827,80.2707,2024-01-08,24.27,63.58,6.44,0.0,1006.61
Chennai,13.0827,80.2707,2024-01-09,25.63,69.61,12.13,0.0,1011.52
Chennai,13.0827,80.2707,2024-01-10,25.96,57.19,10.27,2.61,1013.26
Chennai,13.0827,80.2707,2024-01-11,30.33,73.7,7.43,2.07,1009.9
Chennai,13.0827,80.2707,2024-01-12,26.64,77.34,3.39,4.55,1011.55
Chennai,13.0827,80.2707,2024-01-13,26.65,73.83,7.85,0.0,1007.35
Chennai,13.0827,80.2707,2024-01-14,27.16,74.74,5.24,0.0,1011.44
Chennai,13.0827,80.2707,2024-01-15,22.6,67.11,5.0,2.07,1013.93
Chennai,13.0827,80.2707,2024-01-16,25.02,74.4,7.94,0.0,1007.26
Chennai,13.0827,80.2707,2024-01-17,28.86,76.15,3.96,0.0,1008.19
Chennai,13.0827,80.2707,2024-01-18,25.38,73.96,5.48,0.0,1010.29
Chennai,13.0827,80.2707,2024-01-19,26.35,59.43,5.62,0.0,1013.04
Chennai,13.0827,80.2707,2024-01-20,24.56,75.03,5.43,6.57,1010.66
Chennai,13.0827,80.2707,2024-01-21,28.6,78.51,8.36,0.0,1015.95
Chennai,13.0827,80.2707,2024-01-22,23.02,67.7,2.43,0.0,1007.1
Chennai,13.0827,80.2707,2024-01-23,25.78,69.18,9.04,0.0,1011.38
Chennai,13.0827,80.2707,2024-01-24,25.09,70.52,9.64,3.37,1009.61
Chennai,13.0827,80.2707,2024-01-25,24.26,64.53,9.3,0.0,1012.83
Chennai,13.0827,80.2707,2024-01-26,28.43,75.68,10.71,0.0,1011.06
Chennai,13.0827,80.2707,2024-01-27,23.88,59.61,10.34,0.0,1013.37
Chennai,13.0827,80.2707,2024-01-28,24.36,66.91,8.49,0.0,1009.31
Chennai,13.0827,80.2707,2024-01-29,24.66,67.93,8.24,0.0,1015.43
Chennai,13.0827,80.2707,2024-01-30,27.79,82.05,7.2,4.06,1012.21
Chennai,13.0827,80.2707,2024-01-31,25.44,84.82,10.48,0.0,1016.45
Chennai,13.0827,80.2707,2024-02-01,29.14,55.61,2.71,0.0,1012.09
Chennai,13.0827,80.2707,2024-02-02,27.33,61.46,8.35,0.0,1010.74
Chennai,13.0827,80.2707,2024-02-03,30.42,72.88,6.73,6.16,1006.2
Chennai,13.0827,80.2707,2024-02-04,30.54,71.45,10.47,0.0,1011.2
Chennai,13.0827,80.2707,2024-02-05,29.35,56.6,4.58,0.0,1004.88
Chennai,13.0827,80.2707,2024-02-06,27.7,70.55,2.38,0.0,1010.73
